iter	Passed	Remaining
0	55	72001
1	121	79148
2	182	79178
3	249	81139
4	311	80861
5	385	83491
6	451	83573
7	512	82994
8	576	82959
9	653	84510
10	728	85689
11	794	85489
12	868	86270
13	938	86514
14	994	85438
15	1077	86756
16	1164	88184
17	1246	89067
18	1319	89271
19	1381	88667
20	1450	88638
21	1514	88283
22	1582	88113
23	1644	87707
24	1703	87146
25	1757	86378
26	1826	86404
27	1895	86399
28	1964	86376
29	2026	86054
30	2080	85449
31	2142	85168
32	2206	84983
33	2271	84851
34	2329	84450
35	2383	83960
36	2449	83865
37	2524	84119
38	2590	84034
39	2648	83686
40	2712	83571
41	2767	83163
42	2834	83125
43	2912	83395
44	2976	83279
45	3048	83375
46	3110	83177
47	3174	83070
48	3245	83118
49	3304	82878
50	3364	82651
51	3424	82458
52	3488	82353
53	3556	82331
54	3619	82197
55	3701	82483
56	3761	82300
57	3823	82135
58	3881	81902
59	3945	81793
60	4024	82008
61	4091	81967
62	4154	81836
63	4214	81653
64	4282	81622
65	4346	81537
66	4417	81561
67	4479	81425
68	4561	81646
69	4623	81511
70	4688	81425
71	4752	81315
72	4809	81109
73	4889	81270
74	4951	81145
75	5021	81139
76	5079	80947
77	5141	80807
78	5207	80748
79	5276	80731
80	5336	80569
81	5399	80460
82	5457	80278
83	5511	80048
84	5575	79952
85	5629	79729
86	5700	79746
87	5772	79759
88	5825	79531
89	5884	79376
90	5943	79226
91	6003	79086
92	6068	79014
93	6133	78953
94	6199	78902
95	6265	78836
96	6329	78764
97	6401	78777
98	6458	78610
99	6521	78524
100	6581	78394
101	6638	78233
102	6703	78167
103	6767	78082
104	6823	77923
105	6881	77772
106	6941	77650
107	7000	77525
108	7064	77452
109	7140	77511
110	7199	77373
111	7263	77306
112	7327	77225
113	7392	77167
114	7457	77107
115	7519	77013
116	7580	76903
117	7640	76790
118	7698	76658
119	7756	76530
120	7828	76541
121	7898	76525
122	7963	76466
123	8022	76346
124	8126	76653
125	8210	76761
126	8273	76675
127	8338	76609
128	8513	77541
129	8650	78124
130	8765	78485
131	8867	78731
132	8978	79048
133	9058	79093
134	9139	79141
135	9247	79420
136	9321	79400
137	9409	79502
138	9516	79764
139	9596	79787
140	9669	79752
141	9736	79678
142	9798	79549
143	9876	79560
144	9947	79510
145	10016	79447
146	10078	79329
147	10146	79252
148	10207	79125
149	10277	79066
150	10354	79063
151	10426	79024
152	10505	79034
153	10570	78932
154	10669	79090
155	10748	79100
156	10828	79112
157	10909	79130
158	10996	79187
159	11070	79153
160	11142	79102
161	11215	79060
162	11286	79004
163	11348	78884
164	11420	78835
165	11488	78756
166	11561	78715
167	11630	78644
168	11690	78516
169	11760	78448
170	11816	78291
171	11876	78161
172	11939	78056
173	12020	78062
174	12097	78048
175	12166	77979
176	12227	77856
177	12305	77839
178	12377	77792
179	12443	77701
180	12501	77566
181	12565	77461
182	12642	77443
183	12715	77401
184	12789	77357
185	12863	77320
186	12932	77249
187	12997	77156
188	13076	77142
189	13142	77055
190	13204	76944
191	13262	76812
192	13332	76748
193	13398	76659
194	13467	76590
195	13551	76608
196	13624	76561
197	13687	76456
198	13752	76366
199	13822	76301
200	13881	76176
201	13940	76052
202	14006	75967
203	14066	75848
204	14127	75737
205	14187	75619
206	14244	75488
207	14310	75404
208	14379	75335
209	14437	75213
210	14504	75136
211	14582	75111
212	14665	75115
213	14740	75082
214	14804	74985
215	14865	74877
216	14932	74802
217	15055	75002
218	15131	74967
219	15190	74849
220	15253	74748
221	15317	74653
222	15378	74549
223	15464	74559
224	15528	74468
225	15602	74424
226	15672	74356
227	15741	74289
228	15809	74215
229	15866	74088
230	15933	74011
231	16002	73944
232	16063	73838
233	16120	73712
234	16182	73611
235	16248	73530
236	16321	73482
237	16388	73404
238	16455	73325
239	16519	73237
240	16591	73183
241	16656	73094
242	16722	73013
243	16782	72908
244	16846	72816
245	16907	72714
246	16982	72674
247	17052	72611
248	17117	72526
249	17179	72430
250	17237	72316
251	17300	72220
252	17378	72191
253	17438	72087
254	17496	71977
255	17563	71901
256	17635	71845
257	17699	71758
258	17762	71668
259	17824	71571
260	17887	71479
261	17948	71381
262	18016	71312
263	18078	71217
